Starting point for ycsb client
YCSB Client 0.1
Command line: -db com.yahoo.ycsb.db.KaijuClient -p hosts=155.98.38.114:9810 -p port=9810 -P workloads/workloada_load -p operationcount=1 -p maxexecutiontime=30000 -p isolation_level=READ_ATOMIC -p read_atomic_algorithm=KEY_LIST -p threadcount=1 -p time=10000 -p valuesize=1 -s -load
Set isolation!
Created one socket 155.98.38.114 9810
0 0 1000
Operation count is 1
Write operation
Key is user55417
Key is user56506
Key is user55416
Key is user56505
Key is user55415
Key is user56504
Key is user55414
Key is user56503
Key is user56502
Key is user56501
Key is user56500
Key is user53470
Key is user55419
Key is user56508
Key is user55418
Key is user56507
Key is user54579
Key is user54578
Key is user54577
Key is user55423
Key is user55422
Key is user55421
Key is user55420
Key is user54548
Key is user55637
Key is user54547
Key is user55636
Key is user54546
Key is user55635
Key is user55634
Key is user55633
Key is user55632
Key is user55631
Key is user55639
Key is user54549
Key is user55638
Key is user53469
Key is user53467
Key is user53468
Key is user53465
Key is user54555
Key is user53466
Key is user54554
Key is user53463
Key is user54553
Key is user53464
Key is user54552
Key is user53461
Key is user54551
Key is user55640
Key is user53462
Key is user54550
Key is user53436
Key is user53678
Key is user53437
Key is user53679
Key is user53434
Key is user54524
Key is user53435
Key is user54523
Key is user53432
Key is user54522
Key is user53433
Key is user54521
Key is user53430
Key is user54520
Key is user53431
Key is user53438
Key is user53439
Key is user52598
Key is user53687
Key is user52599
Key is user52596
Key is user53685
Key is user52597
Key is user53686
Key is user52594
Key is user53683
Key is user52595
Key is user53684
Key is user53681
Key is user52593
Key is user53682
Key is user53680
Key is user52567
Key is user53656
Key is user52568
Key is user52565
Key is user53654
Key is user52566
Key is user53655
Key is user52563
Key is user53652
Key is user52564
Key is user53653
Key is user53650
Key is user52562
Key is user53651
Key is user52569
Key is user54515
Key is user55604
Key is user55603
Key is user55602
Key is user55601
Key is user55600
Key is user52570
Key is user52571
Key is user55609
Key is user1700
Key is user54519
Key is user55608
Key is user54518
Key is user55607
Key is user54517
Key is user55606
Key is user54516
Key is user55605
Key is user51697
Key is user51696
Key is user51699
Key is user51698
Key is user51695
Key is user51694
Key is user52540
Key is user1729
Key is user1726
Key is user1725
Key is user1728
Key is user1727
Key is user1722
Key is user53649
Key is user1724
Key is user53647
Key is user1723
Key is user53648
Key is user50586
Key is user50585
Key is user1731
Key is user49595
Key is user1730
Key is user49594
Key is user50587
Key is user50582
Key is user51671
Key is user50581
Key is user51670
Key is user50584
Key is user50583
Key is user51672
Key is user50580
Key is user53618
Key is user53619
Key is user53616
Key is user53617
Key is user52534
Key is user53623
Key is user52535
Key is user53624
Key is user52532
Key is user53621
Key is user52533
Key is user53622
Key is user52531
Key is user53620
Key is user52538
Key is user52539
Key is user52536
Key is user53625
Key is user52537
Key is user52501
Key is user52502
Key is user1753
Key is user52500
Key is user1759
Key is user52509
Key is user1758
Key is user52507
Key is user52749
Key is user52508
Key is user1755
Key is user52505
Key is user1754
Key is user52506
Key is user52748
Key is user1757
Key is user52503
Key is user1756
Key is user52504
Key is user1762
Key is user49586
Key is user51664
Key is user52754
Key is user1761
Key is user51663
Key is user52755
Key is user51666
Key is user52752
Key is user51665
Key is user52753
Key is user52750
Key is user49589
Key is user52751
Key is user1760
Key is user49588
Key is user49587
Key is user49593
Key is user50579
Key is user51668
Key is user49592
Key is user50578
Key is user51667
Key is user49591
Key is user52756
Key is user49590
Key is user51669
Key is user52757
Key is user52721
Key is user52722
Key is user51633
Key is user51632
Key is user52720
Key is user51639
Key is user50549
Key is user51638
Key is user51635
Key is user52725
Key is user51634
Key is user52726
Key is user50548
Key is user51637
Key is user52723
Key is user50547
Key is user51636
Key is user52724
Key is user1784
Key is user50553
Key is user50795
Key is user50552
Key is user51641
Key is user1786
Key is user50555
Key is user50797
Key is user1785
Key is user50554
Key is user50796
Key is user50551
Key is user51640
Key is user50550
Key is user1788
Key is user50799
Key is user1787
Key is user50556
Key is user50798
Key is user1789
Key is user49652
Key is user50641
Key is user51730
Key is user49651
Key is user50640
Key is user49650
Key is user50643
Key is user51732
Key is user50642
Key is user51731
Key is user1791
Key is user49656
Key is user1790
Key is user49655
Key is user1793
Key is user49654
Key is user1792
Key is user49653
Key is user49657
Key is user50649
Key is user50648
Key is user50645
Key is user51734
Key is user50644
Key is user51733
Key is user50647
Key is user50646
Key is user51509
Key is user51508
Key is user1568
Key is user1567
Key is user1569
Key is user1575
Key is user48782
Key is user49872
Key is user1574
Key is user48783
Key is user49871
Key is user48780
Key is user49870
Key is user1576
Key is user48781
Key is user1571
Key is user48786
Key is user1570
Key is user48787
Key is user1573
Key is user48784
Key is user49874
Key is user1572
Key is user48785
Key is user49873
Key is user48788
Key is user48789
Key is user49649
Key is user49648
Key is user51727
Key is user51726
Key is user51729
Key is user51728
Key is user51725
Key is user1599
Key is user1598
Key is user56384
Key is user49619
Key is user56383
Key is user49618
Key is user56382
Key is user49617
Key is user56381
Key is user50609
Key is user50610
Key is user49623
Key is user49865
Key is user49622
Key is user49621
Key is user49620
Key is user49869
Key is user49626
Key is user49868
Key is user49625
Key is user49867
Key is user49624
Key is user49866
Key is user50616
Key is user50615
Key is user50618
Key is user50617
Key is user50612
Key is user51701
Key is user50611
Key is user51700
Key is user50614
Key is user51703
Key is user50613
Key is user51702
Key is user49836
Key is user49835
Key is user49834
Key is user49839
Key is user49838
Key is user48749
Key is user49837
Key is user50829
Key is user50828
